Tweet,Polarity
aww bummer shoulda got david carr third day,0
upset update facebook texting might cry result school today also blah,0
dived many time ball managed save rest go bound,0
whole body feel itchy like fire,0
behaving mad see,0
whole crew,0
need hug,0
hey long time see yes rain bit bit lol fine thanks,0
nope,0
que muera,0
spring break plain city snowing,0
repierced ear,0
bear watch thought ua loss embarrassing,0
count idk either never talk anymore,0
would first gun really though zac snyder doucheclown,0
wish got watch miss premiere,0
hollis death scene hurt severely watch film wry director cut,0
file tax,0
ahh ive always wanted see rent love soundtrack,0
oh dear drinking forgotten table drink,0
day get much done,0
one friend called asked meet mid valley todaybut time sigh,0
baked cake ated,0
week going hoped,0
blagh class tomorrow,0
hate call wake people,0
going cry sleep watching marley,0
im sad misslilly,0
ooh lol leslie ok leslie get mad,0
meh almost lover exception track get depressed every time,0
hacked account aim make new one,0
want go promote gear groove unfornately ride may going one anaheim may though,0
thought sleeping option tomorrow realizing evaluation morning work afternoon,0
awe love miss,0
cry asian eye sleep night,0
ok sick spent hour sitting shower cause sick stand held back puke like champ bed,0
ill tell ya story later good day ill workin like three hour,0
sorry bed time came gmt,0
either depressing think even want know kid suitcase,0
bed class work gym class another day gon na fly miss girlfriend,0
really feel like getting today got study tomorrow practical exam,0
reason teardrop guitar one enough break heart,0
sad sad sad know hate feeling wan na sleep still,0
aww soo wish see finally comfortable im sad missed,0
falling asleep heard tracy girl body found sad heart break family,0
yay happy job also mean le time,0
checked user timeline blackberry look like twanking still happening ppl still probs bgs uids,0
oh manwas ironing fave top wear meeting burnt,0
strangely sad lilo samro breaking,0
oh sorry think retweeting,0
broadband plan massive broken promise via wwdiigocomtautao still waiting broadband,0
wow ton reply may unfollow see friend tweet scrolling feed lot,0
duck chicken taking wayy long hatch,0
put vacation photo online yr ago pc crashed forget name site,0
need hug,0
sure po much want dont think trade away company asset sorry andy,0
hate happens,0
sad feeling dallas going show got ta say though think show would use music game mm,0
ugh degree tomorrow,0
move thought already sd hmm random found glad hear yer well,0
miss p commission wutcha playing copped blood sand,0
leaving parking lot work,0
life cool,0
sadly though never gotten experience post coitus cigarette never,0
nice day bad rain come tomorrow,0
bad around lost job even pay phone bill aw shuck,0
damm back school tomorrow,0
mo job money min wage clam hour,0
forever see soon,0
agreed saw failwhale day today,0
oh haha dude dont really look em unless someone say hey added sorry terrible need pop,0
sure right need start working nikster jared least,0
really hate people dis band trace clearly,0
gym attire today puma singlet adidas shortsand black business sock leather shoe lucky run cute girl,0
show location,0
picnic phone smell like citrus,0
donkey sensitive comment nevertheless glad see mug asap charger still awol,0
new csi tonight fml,0
think arm sore tennis,0
wonder someone like much make unhappy split seccond depressed,0
sleep soon hate saying bye see tomorrow night,0
got ur newsletter fare really unbelievable shame already booked paid mine,0
missin boo,0
chalk chalkboard useless,0
blast getty villa hate sore throat day getting worse,0
hey missed ya meeting sup mama,0
tummy hurt wonder hypnosis anything working get stop smoking,0
always one,0
sorry babe fam annoys thankfully asleep right muahaha evil laugh,0
paid attention covered photoshop webpage design class undergrad,0
wednesday bday know,0
poor cameron hill,0
pray please ex threatening start sh myour baby st birthday party still headache,0
hmm really enjoy problem constant think thing find someone ulike,0
strider sick little puppy,0
ryleegracewana go steve party sadly since easter wnt able much ohh well,0
hey actually one bracket pool bad one money,0
follow either work,0
bad nite favorite team astros spartan lose nite tw good,0
body missing northern calif girl found police found remains missing northern california girl,0
hope increase capacity fast yesterday pain got fail whale time hour,0
behind class work,0
watching quothousequot,0
remember bum leg strike back time serious,0
cool kind complaint laptop online overheating recall,0
emily glad mommy done training new job miss,0
would rather first party send bad message rd party send mixed one sophmore year,0
overrated,0
know heard afternoon wondered thing moscow behind time,0
laying bed voice,0
soo sad killed kutner house whyy,0
sorry tell mea culpa really sorry,0
make sense suicide thing refuse believe actually happened,0
hope ok,0
grind inspirational saddening time want stop cuz like much love,0
yeah aw know wudnt stand chance,0
ugh cant sleep,0
hanging crooner wan na sing suck,0
aaw miss ya im leaving bh tomorrow quotmorningquot think aww wan na go beach girl,0
asba radio station,0
wednesday bday know,0
know life flipped upside thought head ramen sound good,0
pain back side hurt mention cry made fail,0
late night snack glass oj bc quotdown sicknessquot back sleepugh hate getting sick,0
big fan camilla belle,0
wah see clip must elstupido work filter wait till get puter something else blame ex broke mine,0
week seems get longer longer term much need much actually going get done,0
cold,0
ehh weather gon na take turn tomorrow,0
haha coold still go show incredible stuff,0
hoping tummy rumble go away soon,0
notice told working tomorrow called agency follow said,0
almost bedtime,0
missing babe long alive happy yawwnn tired love imma try sleep hopefully headstart,0
aghsnow,0
miss kenny power,0
thank letting people know sad direct message got actually bridget,0
india missed th test victory th consecutive win without loss,0
guess,0
sadly going bed,0
shame hear stephan,0
hey leavin morning,0
intending finish editing page novel manuscript tonight probably happen page left,0
laid around much today head hurt,0
